timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
54,8102.029269999998,0.0,4200.577140000002,15976.237299671504,0.0,10800.0,0.0,4258.466999999997,9192.237951998264,8409.451338330158
55,8102.029269999998,0.0,4200.577140000002,14622.636992214315,0.0,10800.0,0.0,4258.466999999997,16668.32847518998,5771.961122595698
56,8102.029269999998,0.0,4200.577140000002,9551.193629454085,0.0,10800.0,0.0,4258.466999999997,23417.597938789888,5452.135021756066
57,8102.029269999998,0.0,4200.577140000002,5758.246844048519,0.0,10800.0,0.0,4258.466999999997,27341.521237546483,6801.658508405098
58,8102.029269999998,0.0,4200.577140000002,2693.7568670637597,0.0,10800.0,0.0,4258.466999999997,28494.723753809063,10158.445969127193
59,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,3701.8943143112865,28177.593061836913,13448.406213851837
60,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,468.5304425718144,26371.9207008468,17157.942446581485
61,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,234.39993055239808,23359.9378129768,18922.055846470852
62,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,2105.7613384612387,20082.41487201996,19331.71737951879
63,8102.029269999998,0.0,4200.577140000002,412.27541505608815,0.0,10800.0,0.0,4258.466999999997,16290.502913940803,19326.648261003123
64,8102.029269999998,0.0,4200.577140000002,4484.704796293118,0.0,10800.0,0.0,4258.466999999997,12281.606798196432,19122.61499551049
65,8102.029269999998,0.0,4200.577140000002,8858.778060297,0.0,10800.0,0.0,4258.466999999997,8357.683499439829,17504.465030263207
66,8102.029269999998,0.0,4200.577140000002,13925.899146009919,0.0,10800.0,0.0,4258.466999999997,4301.748860005789,15238.27858398429
67,8102.029269999998,0.0,4200.577140000002,15664.077010184012,0.0,10800.0,0.0,4258.466999999997,1271.5575113526822,13467.29206846325
68,8102.029269999998,0.0,4200.577140000002,15478.61780821012,0.0,10800.0,0.0,4258.466999999997,89.52493218354203,12309.283849606281
69,8102.029269999998,0.0,4200.577140000002,15695.800106329336,0.0,10800.0,0.0,4258.466999999997,0.0,9777.126483670618
70,8102.029269999998,0.0,4200.577140000002,13363.21174384285,0.0,10800.0,0.0,4258.466999999997,0.0,8005.714846157145
71,8102.029269999998,0.0,4200.577140000002,10982.484856700527,0.0,10800.0,0.0,4258.466999999997,0.0,7293.941733299472
72,8102.029269999998,0.0,4200.577140000002,9290.79173785254,0.0,10800.0,0.0,4258.466999999997,0.0,6839.634852147464
73,8102.029269999998,0.0,4200.577140000002,8142.276202725812,0.0,10800.0,0.0,4258.466999999997,0.0,6477.150387274205
74,8102.029269999998,0.0,4200.577140000002,7689.521416858546,0.0,10800.0,0.0,4258.466999999997,0.0,6481.405173141443
75,8102.029269999998,0.0,4200.577140000002,7733.760714458954,0.0,10800.0,0.0,4258.466999999997,3.0347434638488804,6208.131132077189
76,8102.029269999998,0.0,4200.577140000002,7481.087892304813,0.0,10800.0,0.0,4258.466999999997,426.3814566707681,5885.457241024412
77,8102.029269999998,0.0,4200.577140000002,8298.467311517621,0.0,10800.0,0.0,4258.466999999997,3084.816731002382,5017.1425474800135
78,8102.029269999998,0.0,4200.577140000002,8136.275641499871,0.0,10800.0,0.0,4258.466999999997,9031.396548414274,2987.7544000858843
79,8102.029269999998,0.0,4200.577140000002,4368.1536515000325,0.0,10800.0,0.0,4258.466999999997,17486.191838697232,2459.5810998027614
80,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,2245.2375320622946,25866.63591411594,3243.5201438217796
81,8030.429269999997,0.0,4200.577140000002,0.0,0.0,7498.470268988602,0.0,220.067,31883.01483119632,4367.441489815059
82,8030.429269999997,0.0,4200.577140000002,0.0,0.0,5361.408684951501,0.0,220.067,34231.90627221537,4936.111632833114
83,8030.429269999997,0.0,4200.577140000002,0.0,0.0,2701.279692770664,0.0,220.067,35263.71904992395,5275.9278473053955
84,7646.051528631142,0.0,4200.577140000002,0.0,0.0,0.0,0.0,220.067,35901.015177332265,5518.789154036567
85,6851.914811415686,0.0,4200.577140000002,0.0,0.0,0.0,0.0,220.067,34957.20996007524,5178.231088509067
86,8030.429269999997,0.0,4200.577140000002,0.0,0.0,1927.0885652942698,0.0,220.067,31754.03823398276,4432.799790722967
87,8030.429269999997,0.0,4200.577140000002,0.0,0.0,7875.828049659447,0.0,220.067,26465.997748226095,3444.6007921144655
88,8102.029269999998,0.0,4200.577140000002,727.2068821613085,0.0,10800.0,0.0,4258.466999999997,19704.58931077081,2597.630397067901
89,8102.029269999998,0.0,4200.577140000002,9075.444117160778,0.0,10800.0,0.0,4258.466999999997,12057.035781871611,1997.4466909676291
90,8102.029269999998,0.0,4200.577140000002,15259.114908541933,0.0,10800.0,0.0,4258.466999999997,5570.271627894626,1728.5400535633776
91,8102.029269999998,0.0,4200.577140000002,18046.72354129189,0.0,10800.0,0.0,4258.466999999997,1590.2055750568136,1203.4974736512559
92,8102.029269999998,0.0,4200.577140000002,18196.476521866825,0.0,10800.0,0.0,4258.466999999997,86.49018871969315,923.959879413437
93,8102.029269999998,0.0,4200.577140000002,16951.633906395837,0.0,10800.0,0.0,4258.466999999997,0.0,1438.2926836041174
94,8102.029269999998,0.0,4200.577140000002,12378.267846811283,0.0,10800.0,0.0,4258.466999999997,0.0,2969.158743188718
95,8102.029269999998,0.0,4200.577140000002,7723.175359570136,0.0,10800.0,0.0,4258.466999999997,0.0,5115.251230429866
96,8102.029269999998,0.0,4200.577140000002,3699.235859836751,0.0,10800.0,0.0,4258.466999999997,0.0,7284.1907301632855
97,8102.029269999998,0.0,4200.577140000002,860.5895416893311,0.0,10800.0,0.0,4258.466999999997,0.0,9193.33704831069
98,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,3611.857333325592,0.0,10162.536256674439
99,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,2291.7407931150487,3.0347434638488804,11217.618053421142
100,8102.029269999998,0.0,4200.577140000002,0.0,0.0,10800.0,0.0,1157.5008400393417,432.45094359846615,11444.941806362236
101,8030.429269999997,0.0,4200.577140000002,0.0,0.0,10497.226931272944,0.0,220.067,3168.2721762582287,11167.927482468833
102,8030.429269999997,0.0,4200.577140000002,0.0,0.0,9640.26328065896,0.0,220.067,9477.503837600052,8442.159471740983
103,8030.429269999997,0.0,4200.577140000002,0.0,0.0,7623.375516647911,0.0,220.067,18114.383735713953,5432.667337638163
104,8030.429269999997,0.0,4200.577140000002,0.0,0.0,2773.5384737640156,0.0,220.067,26447.789287443014,4786.59882879297
105,5584.158958193119,0.0,4200.577140000002,0.0,0.0,0.0,0.0,220.067,33266.85785071143,5294.839051095474
106,2665.083915033542,0.0,4200.577140000002,0.0,0.0,0.0,0.0,10.610000000000001,37609.57574747922,6129.653197487195
107,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,39853.76853899546,6645.9250587428205
108,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,39785.48681105884,7248.876282657074
109,0.0,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,37608.05837574722,7910.0599946517395
110,1543.1750596224854,0.0,4200.577140000002,0.0,0.0,0.0,0.0,0.0,32669.01338833322,8300.734412044285
111,8030.429269999997,0.0,4200.577140000002,0.0,0.0,520.2454532688608,0.0,220.067,25666.342845501928,8155.338291229216
112,8030.429269999997,0.0,4200.577140000002,0.0,0.0,9578.150355084364,0.0,220.067,17689.519650775106,8290.756584140561
113,8102.029269999998,0.0,4200.577140000002,4136.660118171953,0.0,10800.0,0.0,4258.466999999997,9805.256131695724,7954.510340132318
114,8102.029269999998,0.0,4200.577140000002,9990.30870669713,0.0,10800.0,0.0,4258.466999999997,3996.7571418889725,8083.860741413877
115,8102.029269999998,0.0,4200.577140000002,11697.817376839788,0.0,10800.0,0.0,4258.466999999997,1138.0287989433318,8852.580414216874
116,8102.029269999998,0.0,4200.577140000002,11867.296670159782,0.0,10800.0,0.0,4258.466999999997,66.7643562046754,8958.865563635554
117,8102.029269999998,0.0,4200.577140000002,10149.914002732543,0.0,10800.0,0.0,4258.466999999997,0.0,10659.512587267414
118,8102.029269999998,0.0,4200.577140000002,5336.510282750723,0.0,10800.0,0.0,4258.466999999997,0.0,12845.416307249307
