index,zone,wind onshore,wind offshore,solar,utc_timestamp
t2691,DE,0.3659777871502882,0.8428265524625268,0.0,2017-04-23 02:00:00
t2692,DE,0.34562069450302263,0.8445396145610279,7.237461098646595e-05,2017-04-23 03:00:00
t2693,DE,0.33729790524391956,0.8237687366167024,0.01107331548092929,2017-04-23 04:00:00
t2694,DE,0.3061999156474062,0.7817987152034261,0.08880364768039371,2017-04-23 05:00:00
t2695,DE,0.3088991986503585,0.7901498929336188,0.2246507925019903,2017-04-23 06:00:00
t2696,DE,0.36206945030226345,0.7417558886509636,0.35145111095027864,2017-04-23 07:00:00
t2697,DE,0.4016870518768452,0.7548179871520343,0.4267930809871897,2017-04-23 08:00:00
t2698,DE,0.43860537044847464,0.7197002141327623,0.47477744807121663,2017-04-23 09:00:00
t2699,DE,0.46413608885139884,0.6762312633832976,0.5338351306361728,2017-04-23 10:00:00
t2700,DE,0.4869956417826515,0.7250535331905782,0.5521097199102555,2017-04-23 11:00:00
t2701,DE,0.5013355827358358,0.7276231263383298,0.5561626981254976,2017-04-23 12:00:00
t2702,DE,0.5202024462252214,0.6749464668094218,0.5186726496345082,2017-04-23 13:00:00
t2703,DE,0.5271755939828483,0.6419700214132762,0.4343924151407686,2017-04-23 14:00:00
t2704,DE,0.5080837902432166,0.5546038543897216,0.31269450676702615,2017-04-23 15:00:00
t2705,DE,0.46776325038661604,0.4779443254817987,0.1688861547369183,2017-04-23 16:00:00
t2706,DE,0.3695768311542247,0.45010706638115633,0.05149453571687052,2017-04-23 17:00:00
t2707,DE,0.28134401799522,0.43576017130620986,0.002496924079033075,2017-04-23 18:00:00
t2708,DE,0.24099536060733867,0.4291220556745182,0.0,2017-04-23 19:00:00
t2709,DE,0.22190355686770702,0.4901498929336188,0.0,2017-04-23 20:00:00
t2710,DE,0.21971038942780824,0.593576017130621,0.0,2017-04-23 21:00:00
t2711,DE,0.22595248137213553,0.7254817987152035,0.0,2017-04-23 22:00:00
t2712,DE,0.23261633628567413,0.7856531049250536,0.0,2017-04-23 23:00:00
t2713,DE,0.24245747223393785,0.8237687366167024,0.0,2017-04-24 00:00:00
t2714,DE,0.2430479403908337,0.8670235546038544,0.0,2017-04-24 01:00:00
t2715,DE,0.2685786587937579,0.8873661670235546,0.0,2017-04-24 02:00:00
t2716,DE,0.29700548291859974,0.8946466809421841,0.00010856191647969893,2017-04-24 03:00:00
t2717,DE,0.3278504147335864,0.8642398286937901,0.01740609394224506,2017-04-24 04:00:00
t2718,DE,0.34342752706312385,0.8441113490364026,0.13501483679525222,2017-04-24 05:00:00
t2719,DE,0.3410375369042598,0.8389721627408994,0.33632481725410723,2017-04-24 06:00:00
t2720,DE,0.38034584563475327,0.8419700214132763,0.543786639646812,2017-04-24 07:00:00
t2721,DE,0.4536482496836778,0.8436830835117773,0.7185713251791271,2017-04-24 08:00:00
t2722,DE,0.5054688598341066,0.8400428265524625,0.8301729753202577,2017-04-24 09:00:00
t2723,DE,0.5212990299451709,0.8229122055674518,0.8770717232394876,2017-04-24 10:00:00
t2724,DE,0.5262195979193027,0.7970021413276231,0.8663240935079974,2017-04-24 11:00:00
t2725,DE,0.5080837902432166,0.6728051391862955,0.8027791850618803,2017-04-24 12:00:00
t2726,DE,0.47732321102207226,0.48693790149892935,0.6952667004414851,2017-04-24 13:00:00
t2727,DE,0.44560663573738224,0.321627408993576,0.5505536657740465,2017-04-24 14:00:00
t2728,DE,0.37775903275692396,0.23383297644539613,0.36046175001809366,2017-04-24 15:00:00
t2729,DE,0.30563756502179107,0.1777301927194861,0.17398856481146413,2017-04-24 16:00:00
t2730,DE,0.21268100660761985,0.13062098501070663,0.047731055945574294,2017-04-24 17:00:00
t2731,DE,0.15593982848305918,0.08779443254817987,0.0018093652746616487,2017-04-24 18:00:00
t2732,DE,0.13119640095599605,0.061670235546038545,0.0,2017-04-24 19:00:00
t2733,DE,0.12084914944467876,0.046680942184154174,0.0,2017-04-24 20:00:00
t2734,DE,0.1069590889919865,0.047109207708779445,0.0,2017-04-24 21:00:00
t2735,DE,0.0997610009841136,0.033832976445396144,0.0,2017-04-24 22:00:00
t2736,DE,0.10659356108533671,0.03961456102783726,0.0,2017-04-24 23:00:00
t2737,DE,0.12020244622522143,0.055032119914346894,0.0,2017-04-25 00:00:00
t2738,DE,0.14542387178405736,0.08265524625267666,0.0,2017-04-25 01:00:00
t2739,DE,0.1845634753268663,0.07880085653104925,0.0,2017-04-25 02:00:00
t2740,DE,0.22350625615070996,0.10877944325481799,0.00010856191647969893,2017-04-25 03:00:00
t2741,DE,0.25845634753268665,0.13832976445396145,0.011399001230368386,2017-04-25 04:00:00
t2742,DE,0.2575847040629833,0.14668094218415417,0.0738582905116885,2017-04-25 05:00:00
t2743,DE,0.2495712076479685,0.2012847965738758,0.1746037490048491,2017-04-25 06:00:00
t2744,DE,0.30614368058484465,0.11820128479657388,0.2681117463993631,2017-04-25 07:00:00
t2745,DE,0.36237874314635177,0.11177730192719486,0.32763986393573136,2017-04-25 08:00:00
t2746,DE,0.38459159285814704,0.15331905781584582,0.3686400810595643,2017-04-25 09:00:00
t2747,DE,0.390186981583017,0.18565310492505355,0.4241514076861837,2017-04-25 10:00:00
t2748,DE,0.39724448193448614,0.2430406852248394,0.45288412824781066,2017-04-25 11:00:00
t2749,DE,0.38931533811331365,0.3381156316916488,0.42664833176521677,2017-04-25 12:00:00
t2750,DE,0.3796429073527344,0.430406852248394,0.36353767098501844,2017-04-25 13:00:00
t2751,DE,0.37025165190496273,0.4458244111349036,0.3048780487804878,2017-04-25 14:00:00
t2752,DE,0.338619429214115,0.39657387580299786,0.22215386842295723,2017-04-25 15:00:00
t2753,DE,0.29360326163362854,0.36552462526766594,0.1279583122240718,2017-04-25 16:00:00
t2754,DE,0.22477154505834387,0.2728051391862955,0.042628645871028444,2017-04-25 17:00:00
t2755,DE,0.1757345705047097,0.2614561027837259,0.003148295577911269,2017-04-25 18:00:00
t2756,DE,0.16246309574019402,0.22740899357601713,0.0,2017-04-25 19:00:00
t2757,DE,0.14567692956558415,0.21113490364025697,0.0,2017-04-25 20:00:00
t2758,DE,0.1362013215239702,0.14518201284796575,0.0,2017-04-25 21:00:00
