timestep,node,curtailment
38,n3318,0.0
39,n3318,0.0
40,n3318,0.0
41,n3318,0.0
42,n3318,0.0
43,n3318,0.0
44,n3318,0.0
45,n3318,0.0
46,n3318,0.0
47,n3318,0.0
48,n3318,0.0
49,n3318,0.0
1,n3319,0.0
2,n3319,0.0
3,n3319,0.0
4,n3319,0.0
5,n3319,0.0
6,n3319,0.0
7,n3319,0.0
8,n3319,0.0
9,n3319,0.0
10,n3319,0.0
11,n3319,0.0
12,n3319,0.0
13,n3319,0.0
14,n3319,0.0
15,n3319,0.0
16,n3319,0.0
17,n3319,0.0
18,n3319,0.0
19,n3319,0.0
20,n3319,0.0
21,n3319,0.0
22,n3319,0.0
23,n3319,0.0
24,n3319,0.0
25,n3319,0.0
26,n3319,0.0
27,n3319,0.0
28,n3319,0.0
29,n3319,0.0
30,n3319,0.0
31,n3319,0.0
32,n3319,0.0
33,n3319,0.0
34,n3319,0.0
35,n3319,0.0
36,n3319,0.0
37,n3319,0.0
38,n3319,0.0
39,n3319,0.0
40,n3319,0.0
41,n3319,0.0
42,n3319,0.0
43,n3319,0.0
44,n3319,0.0
45,n3319,0.0
46,n3319,0.0
47,n3319,0.0
48,n3319,0.0
49,n3319,0.0
1,n3320,0.0
2,n3320,0.0
3,n3320,0.0
4,n3320,0.0
5,n3320,0.0
6,n3320,0.0
7,n3320,0.0
8,n3320,0.0
9,n3320,0.0
10,n3320,0.0
11,n3320,0.0
12,n3320,0.0
13,n3320,0.0
14,n3320,0.0
15,n3320,0.0
16,n3320,0.0
17,n3320,0.0
18,n3320,0.0
19,n3320,0.0
20,n3320,0.0
21,n3320,0.0
22,n3320,0.0
23,n3320,0.0
24,n3320,0.0
25,n3320,0.0
26,n3320,0.0
27,n3320,0.0
28,n3320,0.0
29,n3320,0.0
30,n3320,0.0
31,n3320,0.0
32,n3320,0.0
33,n3320,0.0
34,n3320,0.0
35,n3320,0.0
36,n3320,0.0
37,n3320,0.0
38,n3320,0.0
39,n3320,0.0
40,n3320,0.0
41,n3320,0.0
42,n3320,0.0
43,n3320,0.0
44,n3320,0.0
45,n3320,0.0
46,n3320,0.0
47,n3320,0.0
48,n3320,0.0
49,n3320,0.0
1,n3321,0.0
2,n3321,0.0
3,n3321,0.0
4,n3321,0.0
5,n3321,0.0
6,n3321,0.0
7,n3321,0.0
8,n3321,0.0
9,n3321,0.0
10,n3321,0.0
11,n3321,0.0
12,n3321,0.0
13,n3321,0.0
14,n3321,0.0
15,n3321,0.0
16,n3321,0.0
17,n3321,0.0
18,n3321,0.0
19,n3321,0.0
20,n3321,0.0
21,n3321,0.0
22,n3321,0.0
23,n3321,0.0
24,n3321,0.0
25,n3321,0.0
26,n3321,0.0
27,n3321,0.0
28,n3321,0.0
29,n3321,0.0
30,n3321,0.0
31,n3321,0.0
32,n3321,0.0
33,n3321,0.0
34,n3321,0.0
35,n3321,0.0
36,n3321,0.0
37,n3321,0.0
38,n3321,0.0
39,n3321,0.0
