timestep,biomass,hard coal,hydro,lignite,gas,uran,oil,waste,sun,wind
40,8102.029269999998,0.0,4200.577140000002,16738.07823306152,0.0,0.0,0.0,4258.466999999997,19392.010733994353,9701.837622944222
41,8102.029269999998,4909.586857092252,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,11953.854504100735,8078.885228806994
42,8102.029269999998,11944.738392913152,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,5526.267847668814,6673.320349417985
43,8102.029269999998,14146.297021290584,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,1499.1632711413488,6520.366297568037
44,8102.029269999998,12064.954612330685,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,69.7990996685243,7976.072878000757
45,8102.029269999998,7433.849492384839,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,10203.47709761511
46,8102.029269999998,1864.1000102951598,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,11598.226579704864
47,8102.029269999998,0.0,4200.577140000002,18408.083119384995,0.0,0.0,0.0,4258.466999999997,0.0,12324.343470614998
48,8102.029269999998,0.0,4200.577140000002,16665.97933528012,0.0,0.0,0.0,4258.466999999997,0.0,12480.44725471996
49,8102.029269999998,0.0,4200.577140000002,14969.274640352438,0.0,0.0,0.0,4258.466999999997,0.0,12832.651949647592
50,8102.029269999998,0.0,4200.577140000002,14280.570668774968,0.0,0.0,0.0,4258.466999999997,0.0,13458.35592122507
51,8102.029269999998,0.0,4200.577140000002,14301.676456092338,0.0,0.0,0.0,4258.466999999997,3.0347434638488804,14142.715390443847
52,8102.029269999998,0.0,4200.577140000002,17221.02114257909,0.0,0.0,0.0,4258.466999999997,464.31574996887866,13745.089697452018
53,8102.029269999998,3724.622891143039,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,3298.766145203732,11465.937553653239
54,8102.029269999998,6572.637299671509,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,9192.237951998264,8409.451338330158
55,8102.029269999998,5219.03699221432,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,16668.32847518998,5771.961122595698
56,8102.029269999998,147.5936294540875,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,23417.597938789888,5452.135021756066
57,8102.029269999998,0.0,4200.577140000002,16558.246844048517,0.0,0.0,0.0,4258.466999999997,27341.521237546483,6801.658508405098
58,8102.029269999998,0.0,4200.577140000002,13493.756867063761,0.0,0.0,0.0,4258.466999999997,28494.723753809063,10158.445969127193
59,8102.029269999998,0.0,4200.577140000002,10243.427314311288,0.0,0.0,0.0,4258.466999999997,28177.593061836913,13448.406213851837
60,8102.029269999998,0.0,4200.577140000002,7010.063442571811,0.0,0.0,0.0,4258.466999999997,26371.9207008468,17157.942446581485
61,8102.029269999998,0.0,4200.577140000002,6775.932930552393,0.0,0.0,0.0,4258.466999999997,23359.9378129768,18922.055846470852
62,8102.029269999998,0.0,4200.577140000002,8647.294338461237,0.0,0.0,0.0,4258.466999999997,20082.41487201996,19331.71737951879
63,8102.029269999998,0.0,4200.577140000002,11212.275415056089,0.0,0.0,0.0,4258.466999999997,16290.502913940803,19326.648261003123
64,8102.029269999998,0.0,4200.577140000002,15284.70479629312,0.0,0.0,0.0,4258.466999999997,12281.606798196432,19122.61499551049
65,8102.029269999998,0.0,4200.577140000002,19658.778060297,0.0,0.0,0.0,4258.466999999997,8357.683499439829,17504.465030263207
66,8102.029269999998,4522.299146009924,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,4301.748860005789,15238.27858398429
67,8102.029269999998,6260.477010184017,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,1271.5575113526822,13467.29206846325
68,8102.029269999998,6075.017808210125,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,89.52493218354203,12309.283849606281
69,8102.029269999998,6292.200106329341,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,9777.126483670618
70,8102.029269999998,3959.6117438428537,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,8005.714846157145
71,8102.029269999998,1578.8848567005316,4200.577140000002,20203.6,0.0,0.0,0.0,4258.466999999997,0.0,7293.941733299472
72,8102.029269999998,0.0,4200.577140000002,20090.791737852545,0.0,0.0,0.0,4258.466999999997,0.0,6839.634852147464
73,8102.029269999998,0.0,4200.577140000002,18942.276202725814,0.0,0.0,0.0,4258.466999999997,0.0,6477.150387274205
74,8102.029269999998,0.0,4200.577140000002,18489.521416858544,0.0,0.0,0.0,4258.466999999997,0.0,6481.405173141443
75,8102.029269999998,0.0,4200.577140000002,18533.760714458956,0.0,0.0,0.0,4258.466999999997,3.0347434638488804,6208.131132077189
76,8102.029269999998,0.0,4200.577140000002,18281.087892304815,0.0,0.0,0.0,4258.466999999997,426.3814566707681,5885.457241024412
